run_root,mesh,traj,policy,trial,n_steps,init_view,final_view,variance_0,variance_final,vrr_final,vrr_best_final,policy_score_final,semantic_visibility_0,semantic_visibility_1,semantic_visibility_best,semantic_pass_k,distance_to_gt_final,success_final
outputs/single_demo/run_20260129_081333/ACE_Coffee_Mug_Kristen_16_oz_cup,ACE_Coffee_Mug_Kristen_16_oz_cup,active_combined_t0,active_combined,0,3,0,2,3883.884765625,4190.58203125,-0.07896662340228981,0.0,0.0,0.10361862182617188,0.08530044555664062,0.10361862182617188,True,nan,
outputs/single_demo/run_20260129_081333/ACE_Coffee_Mug_Kristen_16_oz_cup,ACE_Coffee_Mug_Kristen_16_oz_cup,active_combined_t1,active_combined,1,3,8,1,3146.2275390625,3882.6513671875,-0.23406566085313607,0.0,0.0,0.039432525634765625,0.1036224365234375,0.1036224365234375,True,nan,
outputs/single_demo/run_20260129_081333/ACE_Coffee_Mug_Kristen_16_oz_cup,ACE_Coffee_Mug_Kristen_16_oz_cup,active_combined_t2,active_combined,2,3,16,23,3858.5322265625,4074.418701171875,-0.05595041376697391,0.06703994318597406,0.0,0.029239654541015625,0.08533477783203125,0.08533477783203125,True,nan,
