step,view_id,next_view_id,variance_sum,variance_reduction_rate,variance_reduction_rate_best_so_far,policy_score,centroid_x,centroid_y,centroid_z,distance_to_gt,success
0,8,4,4217.8935546875,0.0,0.0,0.0,-0.47411092398358795,-0.01595467115772977,0.00011491394640865659,,
1,4,0,3289.61328125,0.22008148413462642,0.22008148413462642,0.0,-0.4740706570064652,-0.015983870603128694,6.899546372485117e-05,,
2,0,20,5548.5029296875,-0.3154677465772565,0.22008148413462642,0.0,-0.47409915001366904,-0.015988109232299506,9.913682671730415e-05,,
