step,view_id,next_view_id,variance_sum,variance_reduction_rate,variance_reduction_rate_best_so_far,policy_score,centroid_x,centroid_y,centroid_z,distance_to_gt,success
0,1,5,3522.36962890625,0.0,0.0,0.0,-0.4739844715466587,-0.016015660321909778,4.003149772414184e-06,,
1,5,0,5385.6171875,-0.5289755916877801,0.0,0.0,-0.46993187110054757,-0.011651285152364613,0.0005992950688730142,,
2,0,20,3923.99072265625,-0.11402014440906633,0.0,0.0,-0.4740242675649847,-0.015993760737860588,3.1554239382704865e-05,,
