step,view_id,next_view_id,variance_sum,variance_reduction_rate,variance_reduction_rate_best_so_far,policy_score,centroid_x,centroid_y,centroid_z,distance_to_gt,success
0,1,5,3892.826904296875,0.0,0.0,0.0,-0.4703670370287533,-0.012168633390601865,-0.001492232947523887,,
1,5,0,3966.92431640625,-0.019034345459230873,0.0,0.0,-0.4739651622359915,-0.01600906689875518,2.284150164269505e-05,,
2,0,20,4079.34375,-0.0479129563909582,0.0,0.0,-0.47120369533119594,-0.013559845676221498,-0.001013738810018989,,
