step,view_id,next_view_id,variance_sum,variance_reduction_rate,policy_score,centroid_x,centroid_y,centroid_z,distance_to_gt,success
0,0,2,3942.494140625,0.0,0.9934698536076743,-0.2835089538686617,-0.025768746043946324,-0.010528754860294774,,
1,2,21,4909.025390625,-0.2451573079184784,0.9940385939408364,-0.20917022711518185,-0.01264171150194397,-0.010088879344124006,,
2,21,1,3103.4189453125,0.21282852057187387,0.9937794335818935,-0.3022754845223812,0.019434114748168915,-0.0014439596708563328,,
