step,view_id,next_view_id,variance_sum,variance_reduction_rate,variance_reduction_rate_best_so_far,policy_score,centroid_x,centroid_y,centroid_z,distance_to_gt,success
0,6,7,5417.5595703125,0.0,0.0,0.0,-0.15993219135243458,0.00385974281882013,-0.0390483712360974,,
1,7,21,5291.5107421875,0.023266717511650572,0.023266717511650572,0.0,-0.17767273826746935,0.010351203393917409,-0.020761512116828,,
2,21,16,5004.70458984375,0.07620681879183017,0.07620681879183017,0.0,-0.19465692535492096,-0.006721288467914516,-0.02296960243542249,,
