step,view_id,next_view_id,variance_sum,variance_reduction_rate,variance_reduction_rate_best_so_far,policy_score,centroid_x,centroid_y,centroid_z,semantic_visibility,distance_to_gt,success
0,8,0,3146.2275390625,0.0,0.0,0.972365140914917,-0.3209746680681622,-0.003650637113060284,-0.047740386789040384,0.039432525634765625,,
1,0,1,4062.21630859375,-0.29113875527394073,0.0,0.0,-0.28007684163730656,-0.024711208065828737,-0.053721328028452926,0.1036224365234375,,
2,1,2,3882.6513671875,-0.23406566085313607,0.0,0.0,-0.27845344666488875,-0.021170304352412784,-0.0542497437984143,0.08538055419921875,,
