step,view_id,next_view_id,variance_sum,variance_reduction_rate,policy_score,centroid_x,centroid_y,centroid_z,distance_to_gt,success
0,0,22,3783.037109375,0.0,0.9941035897018613,-0.2910386431111886,-0.018070218072761258,-0.06465298813937351,,
1,22,3,4109.0810546875,-0.08618576447598372,0.9932061348759427,-0.2543650816078016,-0.007224272462850791,-0.04594226610302324,,
2,3,21,4115.26953125,-0.08782161323548013,0.9931302972850722,-0.2622486963861202,3.649930674863886e-05,-0.03959491891973357,,
