step,view_id,next_view_id,variance_sum,variance_reduction_rate,variance_reduction_rate_best_so_far,policy_score,centroid_x,centroid_y,centroid_z,distance_to_gt,success
0,1,13,4925.43115234375,0.0,0.0,0.0,-0.47405087673700147,-0.015986460876510854,2.849300720376729e-05,,
1,13,0,3900.751953125,0.2080384777546144,0.2080384777546144,0.0,-0.4713409798204505,-0.012848933372517064,-0.0010497671579708836,,
2,0,12,3654.4873046875,0.2580370749982924,0.2580370749982924,0.0,-0.4738935764988848,-0.01614564494981465,2.5667254423245e-05,,
