step,view_id,next_view_id,variance_sum,variance_reduction_rate,policy_score,centroid_x,centroid_y,centroid_z,distance_to_gt,success
0,0,5,5538.59228515625,0.0,0.9939355788399727,-0.18604921142659026,-0.01091776682641572,-0.04264367069053858,,
1,5,1,3357.9794921875,0.3937124598994079,0.9938154110542952,-0.30667282680768665,-0.0031238696988878404,-0.004865239849896016,,
2,1,19,5160.47802734375,0.06826901825322443,0.9941404450537628,-0.17416503714922105,-0.0010945082436626518,-0.04568747739397774,,
