step,view_id,next_view_id,variance_sum,variance_reduction_rate,variance_reduction_rate_best_so_far,policy_score,centroid_x,centroid_y,centroid_z,distance_to_gt,success
0,1,13,3874.86865234375,0.0,0.0,0.0,-0.47092936183208384,-0.013024836483105737,-0.0017931756186514733,,
1,13,0,5689.4443359375,-0.4682934691208661,0.0,0.0,-0.4706696280556713,-0.013630254016336643,0.00011067531723784521,,
2,0,12,4079.34375,-0.052769555822897725,0.0,0.0,-0.47120369533119594,-0.013559845676221498,-0.001013738810018989,,
