step,view_id,next_view_id,variance_sum,variance_reduction_rate,variance_reduction_rate_best_so_far,policy_score,centroid_x,centroid_y,centroid_z,distance_to_gt,success
0,0,7,3810.75439453125,0.0,0.0,0.0,-0.4713122513338481,-0.013106312354944697,-0.0011456072731108886,,
1,7,21,4222.3544921875,-0.1080101352758211,0.0,0.0,-0.47309341750319117,-0.014891952632847982,-0.0009442723874973632,,
2,21,16,4139.876953125,-0.08636677269625885,0.0,0.0,-0.4734400431776063,-0.015851060222443272,-0.0007836754378032977,,
