step,view_id,next_view_id,variance_sum,variance_reduction_rate,variance_reduction_rate_best_so_far,policy_score,centroid_x,centroid_y,centroid_z,distance_to_gt,success
0,0,1,3538.9833984375,0.0,0.0,0.9872391291521498,-0.4740035453779273,-0.01605168866986167,3.131875998432644e-05,,
1,1,23,3521.28564453125,0.005000801618358468,0.005000801618358468,0.9835146982322048,-0.4730314864214175,-0.015395878545377828,-1.3422325707587016e-05,,
2,23,2,3112.9833984375,0.12037355139560238,0.12037355139560238,0.9838619058145066,-0.4718267738193086,-0.014159376224492863,4.003149772432396e-06,,
