step,view_id,next_view_id,variance_sum,variance_reduction_rate,variance_reduction_rate_best_so_far,policy_score,centroid_x,centroid_y,centroid_z,distance_to_gt,success
0,1,0,4304.1572265625,0.0,0.0,0.9890075402425511,-0.4724361945023135,-0.013962515447448531,-0.00013328133948217147,,
1,0,23,4509.7431640625,-0.04776450456578476,0.0,0.9863819064624423,-0.47223815632827665,-0.014619032010127386,-0.0007532985954124846,,
2,23,2,4883.3232421875,-0.13455967919823153,0.0,0.9883338146643916,-0.47411092398358795,-0.01595467115772977,0.00011491394640865659,,
