step,view_id,next_view_id,variance_sum,variance_reduction_rate,variance_reduction_rate_best_so_far,policy_score,centroid_x,centroid_y,centroid_z,distance_to_gt,success
0,0,7,3538.9833984375,0.0,0.0,0.0,-0.4740035453779273,-0.01605168866986167,3.131875998432644e-05,,
1,7,21,4828.013671875,-0.36423744570449834,0.0,0.0,-0.47161554879896156,-0.013441399538837162,-0.00018320297193839133,,
2,21,16,3272.84228515625,0.07520270182639292,0.07520270182639292,0.0,-0.4739696363445609,-0.0160764140066914,-1.3422325707568576e-05,,
