step,view_id,next_view_id,variance_sum,variance_reduction_rate,variance_reduction_rate_best_so_far,policy_score,centroid_x,centroid_y,centroid_z,distance_to_gt,success
0,0,12,4799.123046875,0.0,0.0,0.0,-0.47393949498156834,-0.01598858019109626,-9.419175935321025e-07,,
1,12,1,4029.1259765625,0.1604453694542989,0.1604453694542989,0.0,-0.4733769346988392,-0.015348547186303773,-8.14758718389246e-05,,
2,1,13,4676.7763671875,0.025493549236493808,0.1604453694542989,0.0,-0.4735191642554611,-0.0157111854598065,-0.0004558881152605722,,
