step,view_id,next_view_id,variance_sum,variance_reduction_rate,variance_reduction_rate_best_so_far,policy_score,centroid_x,centroid_y,centroid_z,distance_to_gt,success
0,1,0,5485.7568359375,0.0,0.0,0.9917354703017351,-0.47411092398358795,-0.01595467115772977,0.00011491394640865659,,
1,0,23,5451.671875,0.006213356143350634,0.006213356143350634,0.9906439466855763,-0.47411092398358795,-0.01595467115772977,0.00011491394640865659,,
2,23,2,4519.412109375,0.17615522442262144,0.17615522442262144,0.985209539677198,-0.47411092398358795,-0.01595467115772977,0.00011491394640865659,,
