run_root,mesh,traj,policy,trial,n_steps,init_view,final_view,variance_0,variance_final,vrr_final,vrr_best_final,policy_score_final,distance_to_gt_final,success_final
outputs/batch_results/run_20260128_190351,Cole_Hardware_Mug_Classic_Blue,active_combined_t2,active_combined,2,3,16,0,3959.794921875,4481.7197265625,-0.1318060189946311,0.16297378681720318,0.9930701006123867,nan,
outputs/batch_results/run_20260128_190351,Cole_Hardware_Mug_Classic_Blue,active_t0,active,0,3,0,23,4774.4951171875,5105.7744140625,-0.06938519963764166,0.0,0.9820870860312917,nan,
outputs/batch_results/run_20260128_190351,Cole_Hardware_Mug_Classic_Blue,active_t1,active,1,3,8,1,4310.310546875,4915.9208984375,-0.14050271899818703,0.0,0.9891901603295703,nan,
outputs/batch_results/run_20260128_190351,Cole_Hardware_Mug_Classic_Blue,active_t2,active,2,3,16,1,3820.137451171875,5560.97119140625,-0.45569924184281707,0.0,0.9910224117044698,nan,
outputs/batch_results/run_20260128_190351,Cole_Hardware_Mug_Classic_Blue,geometric_t0,geometric,0,3,0,1,4747.416015625,4884.2861328125,-0.028830445180499095,0.006004294276861961,0.0,nan,
outputs/batch_results/run_20260128_190351,Cole_Hardware_Mug_Classic_Blue,geometric_t1,geometric,1,3,8,9,4217.8935546875,3907.81103515625,0.07351596608848601,0.20003198566005181,0.0,nan,
outputs/batch_results/run_20260128_190351,Cole_Hardware_Mug_Classic_Blue,geometric_t2,geometric,2,3,16,15,3944.09423828125,5001.61279296875,-0.2681271011283806,0.0,0.0,nan,
outputs/batch_results/run_20260128_190351,Cole_Hardware_Mug_Classic_Blue,random_t0,random,0,3,0,21,4782.4375,3759.742431640625,0.21384389620551758,0.21384389620551758,0.0,nan,
outputs/batch_results/run_20260128_190351,Cole_Hardware_Mug_Classic_Blue,random_t1,random,1,3,8,0,4217.8935546875,5548.5029296875,-0.3154677465772565,0.22008148413462642,0.0,nan,
outputs/batch_results/run_20260128_190351,Cole_Hardware_Mug_Classic_Blue,random_t2,random,2,3,16,3,3820.137451171875,3829.9599609375,-0.00257124511648444,0.0774145262151902,0.0,nan,
outputs/batch_results/run_20260128_190351,Room_Essentials_Mug_White_Yellow,active_combined_t0,active_combined,0,3,0,12,4777.71484375,4105.6171875,0.14067345545521812,0.14067345545521812,0.9910639744620422,nan,
outputs/batch_results/run_20260128_190351,Room_Essentials_Mug_White_Yellow,active_combined_t1,active_combined,1,3,8,2,4082.38525390625,4154.451171875,-0.01765289493435079,0.0,0.9913676051586111,nan,
outputs/batch_results/run_20260128_190351,Room_Essentials_Mug_White_Yellow,active_combined_t2,active_combined,2,3,16,2,3921.24462890625,4515.5048828125,-0.15154888565878805,0.0,0.9914523882522364,nan,
outputs/batch_results/run_20260128_190351,Room_Essentials_Mug_White_Yellow,active_t0,active,0,3,0,23,4777.71484375,4376.6982421875,0.08393481291314248,0.08393481291314248,0.9860152423066112,nan,
outputs/batch_results/run_20260128_190351,Room_Essentials_Mug_White_Yellow,active_t1,active,1,3,8,1,3990.294677734375,4267.4150390625,-0.06944859558228654,0.0,0.9860443549112778,nan,
outputs/batch_results/run_20260128_190351,Room_Essentials_Mug_White_Yellow,active_t2,active,2,3,16,1,4081.137939453125,4711.3623046875,-0.15442368637969278,0.0,0.9875199772617215,nan,
outputs/batch_results/run_20260128_190351,Room_Essentials_Mug_White_Yellow,geometric_t0,geometric,0,3,0,1,4668.9287109375,4680.10595703125,-0.0023939637518058526,0.13789350432745734,0.0,nan,
outputs/batch_results/run_20260128_190351,Room_Essentials_Mug_White_Yellow,geometric_t1,geometric,1,3,8,7,4008.410888671875,4547.9736328125,-0.13460764355906657,0.0,0.0,nan,
outputs/batch_results/run_20260128_190351,Room_Essentials_Mug_White_Yellow,geometric_t2,geometric,2,3,16,15,4012.111328125,3300.4384765625,0.17738113261555222,0.17738113261555222,0.0,nan,
outputs/batch_results/run_20260128_190351,Room_Essentials_Mug_White_Yellow,random_t0,random,0,3,0,21,4777.71484375,4634.83837890625,0.029904770275407878,0.029904770275407878,0.0,nan,
outputs/batch_results/run_20260128_190351,Room_Essentials_Mug_White_Yellow,random_t1,random,1,3,8,0,3856.33544921875,4518.9521484375,-0.1718254824934871,0.0,0.0,nan,
