step,active,active_combined,geometric,random
0,1.0,1.0,1.0,1.0
1,1.088897466659546,1.0380656719207764,1.0316709280014038,1.0426936149597168
2,1.0525891780853271,1.0647255182266235,1.021238923072815,1.0475202798843384
