step,active,active_combined,geometric,random
0,0.0,0.0,0.0,0.0
1,0.03662686049938202,0.047391876578330994,0.048289407044649124,0.038093023002147675
2,0.06644799560308456,0.059254903346300125,0.06851993501186371,0.07092588394880295
