policy,auc_uncertainty_norm,auc_uncertainty_best_so_far_norm
active,2.11519193649292,1.9301491975784302
active_combined,2.0704283714294434,1.9229806661605835
geometric,2.042290449142456,1.9174506664276123
random,2.066453695297241,1.9264440536499023
