step,active,active_combined,geometric,random
0,0.0,0.0,0.0,0.0
1,-0.0888974592089653,-0.03806572034955025,-0.031671054661273956,-0.04269358143210411
2,-0.05258912220597267,-0.06472556293010712,-0.021238986402750015,-0.04752040281891823
