policy,n,mean_vrr_final,std_vrr_final,mean_vrr_best_final,std_vrr_best_final,mean_var_final,std_var_final,gt_runs,success_rate
active,15,-0.052589131046822425,0.2159004556896953,0.06644799578809396,0.10326024114948634,4242.048551432292,782.0022607960512,0,0.0
active_combined,15,-0.06472555719647341,0.1281370355628424,0.05925490957228886,0.06942430350441953,4304.184537760417,628.3160112474922,0,0.0
geometric,15,-0.021238981393956125,0.1414637614377177,0.06851993942739984,0.09425520699343934,4115.445084635417,570.6763474941471,0,0.0
random,15,-0.04752040607711199,0.17522105179033212,0.07092588981672532,0.08886334730358396,4190.458463541667,565.60818850287,0,0.0
