step,view_id,next_view_id,variance_sum,variance_reduction_rate,variance_reduction_rate_best_so_far,policy_score,centroid_x,centroid_y,centroid_z,distance_to_gt,success
0,16,21,3820.137451171875,0.0,0.0,0.0,-0.4739510334720889,-0.016055691819634104,-3.956053892758884e-05,,
1,21,3,3524.4033203125,0.0774145262151902,0.0774145262151902,0.0,-0.47411092398358795,-0.01595467115772977,0.00011491394640865659,,
2,3,19,3829.9599609375,-0.00257124511648444,0.0774145262151902,0.0,-0.4739164180005272,-0.015961735539681124,2.7551089610272162e-05,,
