step,view_id,next_view_id,variance_sum,variance_reduction_rate,variance_reduction_rate_best_so_far,policy_score,centroid_x,centroid_y,centroid_z,distance_to_gt,success
0,0,7,3726.38330078125,0.0,0.0,0.0,-0.4735175158996729,-0.015997763887633014,-0.0003280228019411038,,
1,7,21,4278.89453125,-0.1482701015627979,0.0,0.0,-0.474091614672921,-0.01596644512764869,6.970190192000482e-05,,
2,21,16,4747.259765625,-0.2739590596141088,0.0,0.0,-0.47411092398358795,-0.01595467115772977,0.00011491394640865659,,
