step,view_id,next_view_id,variance_sum,variance_reduction_rate,variance_reduction_rate_best_so_far,policy_score,centroid_x,centroid_y,centroid_z,distance_to_gt,success
0,8,0,3990.294677734375,0.0,0.0,0.9901022292061015,-0.47411092398358795,-0.01595467115772977,0.00011491394640865659,,
1,0,1,4643.7041015625,-0.16374966677877542,0.0,0.987873718234733,-0.47383517760808663,-0.016228533698043845,-6.169560237516717e-05,,
2,1,23,4267.4150390625,-0.06944859558228654,0.0,0.9860443549112778,-0.4724373718993061,-0.014949174126653936,-0.0005811631551978783,,
