step,view_id,next_view_id,variance_sum,variance_reduction_rate,variance_reduction_rate_best_so_far,policy_score,centroid_x,centroid_y,centroid_z,semantic_visibility,distance_to_gt,success
0,0,1,3883.884765625,0.0,0.0,0.0,-0.28181915370590355,-0.01998019147300848,-0.061303293697441606,0.10361862182617188,,
1,1,2,4120.33984375,-0.06088107459257982,0.0,0.0,-0.2446355438255908,-0.00011043983783945452,-0.06054128236428764,0.08530044555664062,,
2,2,3,4190.58203125,-0.07896662340228981,0.0,0.0,-0.2557002497966104,-0.02034282974651119,-0.04658606677818978,0.08860397338867188,,
