step,view_id,next_view_id,variance_sum,variance_reduction_rate,variance_reduction_rate_best_so_far,policy_score,centroid_x,centroid_y,centroid_z,distance_to_gt,success
0,16,21,3809.8037109375,0.0,0.0,0.0,-0.4701621699521635,-0.012612041097748357,-0.00246052423365584,,
1,21,3,4094.964111328125,-0.07484910563028822,0.0,0.0,-0.4730571536758411,-0.015043601365403687,-0.0007582436627784303,,
2,3,19,3851.55908203125,-0.010959979637238323,0.0,0.0,-0.4738858056787378,-0.015801138589987055,-0.00035604485034813275,,
