step,view_id,next_view_id,variance_sum,variance_reduction_rate,variance_reduction_rate_best_so_far,policy_score,centroid_x,centroid_y,centroid_z,semantic_visibility,distance_to_gt,success
0,12,6,4036.856689453125,0.0,0.0,0.0,-0.47349373248043647,-0.015731436688067042,-0.0003810056665762427,0.00168609619140625,,
1,6,21,5249.341796875,-0.30035376549028076,0.0,0.0,-0.4740061356513095,-0.016007183063568155,-1.2244928715694983e-05,0.034862518310546875,,
2,21,16,4824.65234375,-0.1951507608271321,0.0,0.0,-0.4740200289358138,-0.016010244295747073,1.3893284504306809e-05,0.0508575439453125,,
