step,view_id,next_view_id,variance_sum,variance_reduction_rate,variance_reduction_rate_best_so_far,policy_score,centroid_x,centroid_y,centroid_z,semantic_visibility,distance_to_gt,success
0,12,20,3580.193359375,0.0,0.0,0.12560497224330902,-0.27614763239597423,-0.01328716053289934,-0.0652487510172712,0.001682281494140625,,
1,20,8,4066.94189453125,-0.13595593486079827,0.0,0.23147794604301453,-0.2488588668355135,-0.01328598313590737,-0.031001333755312298,0.040637969970703125,,
2,8,19,4343.197265625,-0.21311807203150582,0.0,0.22040976583957672,-0.24125052747389758,-0.006275761446182554,-0.04686675822105647,0.03392791748046875,,
