step,view_id,next_view_id,variance_sum,variance_reduction_rate,variance_reduction_rate_best_so_far,policy_score,centroid_x,centroid_y,centroid_z,semantic_visibility,distance_to_gt,success
0,1,0,4898.83154296875,0.0,0.0,0.9898844462025411,-0.4740840793321727,-0.015958674307502203,9.654655333512328e-05,0.14844894409179688,,
1,0,23,3735.685546875,0.23743335240077876,0.23743335240077876,0.9801678560328931,-0.4739694008651629,-0.01610278769930978,-6.593423154613578e-06,0.005352020263671875,,
2,23,2,3381.540283203125,0.3097251347504243,0.3097251347504243,0.9713000930378837,-0.4739406723785602,-0.016040385658739508,-2.7080130813533855e-05,0.0,,
