step,view_id,next_view_id,variance_sum,variance_reduction_rate,variance_reduction_rate_best_so_far,policy_score,centroid_x,centroid_y,centroid_z,distance_to_gt,success
0,0,7,4777.71484375,0.0,0.0,0.0,-0.47398376510846346,-0.016002708954998963,2.802204840702895e-05,,
1,7,21,4939.205078125,-0.03380072684460324,0.0,0.0,-0.47315699694075347,-0.014560868598727924,4.6860400277300456e-05,,
2,21,16,4648.49365234375,0.02704665214067591,0.02704665214067591,0.0,-0.4739524463484791,-0.016033085797389778,-3.5557389155156096e-05,,
