step,view_id,next_view_id,variance_sum,variance_reduction_rate,variance_reduction_rate_best_so_far,policy_score,centroid_x,centroid_y,centroid_z,distance_to_gt,success
0,2,0,4403.7890625,0.0,0.0,0.9908398431796671,-0.4710986715195191,-0.014453254513669035,0.00023712775416704336,,
1,0,1,3647.4755859375,0.17174153117432608,0.17174153117432608,0.9850635606543057,-0.4729818002683592,-0.015165108734966974,-3.7676703740544204e-06,,
2,1,23,3177.5712890625,0.27844607360493895,0.27844607360493895,0.9822457852792696,-0.4705660171203844,-0.013139043991319278,0.0007686047563070798,,
