step,view_id,next_view_id,variance_sum,variance_reduction_rate,variance_reduction_rate_best_so_far,policy_score,centroid_x,centroid_y,centroid_z,distance_to_gt,success
0,16,3,3921.24462890625,0.0,0.0,0.9933306839746388,-0.26959447621851823,-0.01569140519034271,-0.05719017504596596,,
1,3,2,4579.3720703125,-0.1678363641367157,0.0,0.9933068343160847,-0.2941467356903766,-0.0006127173945805188,-0.02355335586400234,,
2,2,21,4515.5048828125,-0.15154888565878805,0.0,0.9914523882522364,-0.2806495275341602,0.0024546372486963556,-0.04066658566175349,,
