step,view_id,next_view_id,variance_sum,variance_reduction_rate,variance_reduction_rate_best_so_far,policy_score,centroid_x,centroid_y,centroid_z,distance_to_gt,success
0,8,2,4730.8447265625,0.0,0.0,0.9939918300048036,-0.24085233181123816,0.010082992359164468,-0.02618884129065362,,
1,2,21,4351.537109375,0.08017756639903724,0.08017756639903724,0.9929893291494875,-0.2420723505742378,0.020001855577659197,-0.019450598306055333,,
2,21,3,4517.13671875,0.04517332953512159,0.08017756639903724,0.99415903091624,-0.23321055437505236,0.007613519908370294,-0.04453292190372844,,
