step,view_id,next_view_id,variance_sum,variance_reduction_rate,variance_reduction_rate_best_so_far,policy_score,centroid_x,centroid_y,centroid_z,distance_to_gt,success
0,6,7,6275.0439453125,0.0,0.0,0.0,-0.14298827124212324,0.014372485080025406,-0.024042682053832386,,
1,7,21,5892.34716796875,0.060987107130879466,0.060987107130879466,0.0,-0.16760670042497997,0.0033242626669077913,-0.021222816258251086,,
2,21,16,5680.603515625,0.09473087915687842,0.09473087915687842,0.0,-0.1544954430026751,0.0038967130843655736,-0.015866366383337757,,
