step,view_id,next_view_id,variance_sum,variance_reduction_rate,policy_score,centroid_x,centroid_y,centroid_z,distance_to_gt,success
0,0,5,4063.60107421875,0.0,0.0,-0.24522942286830235,-0.011757250881634837,-0.055968507927178175,,
1,5,1,3924.67529296875,0.03418784932689518,0.0,-0.2615396679176026,-0.02087642606323652,-0.051366534044668864,,
2,1,20,3864.94384765625,0.048886990364991216,0.0,-0.26382899862863574,-0.021937025273532775,-0.05766443055429947,,
