step,view_id,next_view_id,variance_sum,variance_reduction_rate,variance_reduction_rate_best_so_far,policy_score,centroid_x,centroid_y,centroid_z,distance_to_gt,success
0,2,21,3980.81884765625,0.0,0.0,0.0,-0.47341013729401155,-0.015412126623865941,-0.0006002369864665283,,
1,21,4,4022.04345703125,-0.01035581144298275,0.0,0.0,-0.4736079399886508,-0.01577782612954759,-0.0006393265665973415,,
2,4,19,4048.207763671875,-0.01692840558552443,0.0,0.0,-0.47411092398358795,-0.01595467115772977,0.00011491394640865659,,
