step,view_id,next_view_id,variance_sum,variance_reduction_rate,variance_reduction_rate_best_so_far,policy_score,centroid_x,centroid_y,centroid_z,distance_to_gt,success
0,2,14,4064.987060546875,0.0,0.0,0.0,-0.4738657899298762,-0.0160764140066914,-0.00014340695361246084,,
1,14,1,5348.50830078125,-0.3157503876683187,0.0,0.0,-0.46745062467982357,-0.00982749721192393,-0.0003605189589173225,,
2,1,13,3618.7587890625,0.10977360194212833,0.10977360194212833,0.0,-0.47132755749474364,-0.014141715269614472,-0.00021169597914219538,,
